code,name,category,properties,day_price
INMA0220,"Martin - Mac Quantum Profile LED, WLE, 475W 1-2-3",LIGHT,,85.00
INMA0239,"Martin - Mac Encore Performance WRM LED, WLE, 486W 1-2",LIGHT,,140.00
INMA0243,"Martin - Mac Encore Performance CLD LED, WLE, 486W 1-2",LIGHT,,140.00
INMA0233,"Martin - Mac Viper XIP LED, IP66 LED, WLE, 760W 1-2",LIGHT,,195.00
INMA0932,"Martin - Mac Ultra Performance LED, WLE, 1150W",LIGHT,,225.00
INMA0228,"Martin - Era 400 Performance CLD LED, WLE, 300W 1-2",LIGHT,,75.00
INMA0236,"Martin - Era 800 Performance 2.3.0, LED, WLE, 800W 1-2",LIGHT,,150.00
INMA0546,"Martin - Rush MH 6 Wash LED, RGBW, 10 x 12W 2-6",LIGHT,,35.00
INMA0944,"Martin - Mac One Beamwash LED, RGBL, 1 x 120W + 24x 0.25W 1-4-8",LIGHT,,40.00
INMA0917,"Martin - Mac Aura Wash LED, RGBW, 19 x 10W 1-2-6",LIGHT,,50.00
INMA0919,"Martin - Mac Aura XB Wash LED, RGBW, 19 x 15W 2-6",LIGHT,,60.00
INMA0922,"Martin - Mac Aura PXL Wash LED, RGBW, 19 x 40W + 141 x 0.3W 1-3",LIGHT,,90.00
INMA0936,"Martin - Mac Aura XIP Filament Wash IP54 LED, RGBW, 7 x 60W + 12 x 4W 2-4",LIGHT,,80.00
INMA0920,"Martin - Mac Quantum Wash LED, RGBW, 50 x 15W 1-3",LIGHT,,90.00
INMA0334,"Martin - Mac Encore Wash WRM LED, WLE, 468W 1-2",LIGHT,,125.00
INMA0338,"Martin - Mac Encore Wash CLD LED, WLE, 486W 1-2",LIGHT,,125.00
INMA0934,"Martin - Mac Ultra Wash LED, WLE, 1150W",LIGHT,,190.00
INMA0250,"Martin - Mac Viper Profile HTI, 1000W 1-2",LIGHT,,125.00
INMA0256,"Martin - Mac Viper Performance HTI, 1000W 1-2",LIGHT,,135.00
INMA0340,"Martin - Mac Viper Wash DX HTI, 1000W 1-2",LIGHT,,125.00
INMA0344,"Martin - Mac Viper Airfx HTI, 1000W 1-2",LIGHT,,150.00
INVA0804,"Vari*Lite - VL1100 AS MSR, 575W",LIGHT,,100.00
INVA0210,"Vari*Lite - VL3500Q Spot HTI, 1200W 1-2",LIGHT,,150.00
INVA0215,"Vari*Lite - VL550D Wash halo, 1000W 1-3",LIGHT,,60.00
INCL0664,"Robe - Esprite Profile WTE LED, WTE, 650W 1-2",LIGHT,,175.00
INCL0656,"Robe - T1 Profile MSL LED, MSL, 550W 1-2",LIGHT,,145.00
INCL0657,"Robe - T2 Profile MSL LED, MSL, 850W 1-2",LIGHT,,200.00
INCL0670,"Robe - iFORTE Profile Spot, IP65 LED, WTE, 1000W",LIGHT,,275.00
INCL0668,"Robe - iFORTE LTX Wash Beam, IP65 LED, WTE, 1000W",LIGHT,,325.00
INCL0672,"Robe - iFORTE LTX FS Wash Beam + Camera, IP65 LED, WTE, 1000W",LIGHT,,425.00
INCL0676,"Robe - iBOLT, IP65 WLS, LSW-5, 500W",LIGHT,,450.00
INCL0614,"Robe - Robin Spikie Wash Beam LED, RGBW, 60W 2-4-8",LIGHT,,35.00
INCL0615,"Robe - Robin LEDBeam 150 LED, RGBW, 7 x 40W 2-4",LIGHT,,37.50
INCL0610,"Robe - Robin LEDBeam 350 LED, RGBW, 12 x 40W 2-4",LIGHT,,60.00
INCL0613,"Robe - Spiider Wash Beam LED, RGBW, 18 x 40W+1 x 60W 2-4",LIGHT,,100.00
INCL0660,"Robe - Robin CycFX 8 Moving LED Strip LED, RGBW, 8 x 15W 4",LIGHT,,50.00
INCL0674,"Robe - TetraX Moving Bar, RGBW LED, RGBW, 9 x 40W 2-4",LIGHT,,85.00
INCL0662,"Robe - Tetra2 Moving Bar, RGBW LED, RGBW, 18 x 40W 3",LIGHT,,90.00
INCL0625,"Robe - Robin Pointe HRI, 280W 1-2-4",LIGHT,,85.00
INCL0624,"Robe - MegaPointe HRI, 470W 1-3",LIGHT,,130.00
INCL0645,"Robe - BMFL Spot HTI, 1700W 1-2",LIGHT,,150.00
INCL0646,"Robe - BMFL Blade Spot HTI, 1700W 1-2",LIGHT,,150.00
INCL0643,"Robe - BMFL Wash Beam HTI, 1700W",LIGHT,,150.00
